"X","ID","RT_Seconds","CI","Accuracy","R","S","Stimulus_type","Age","Race_partic","Handedness","condition","S_numeric","R_numeric","CI_numeric"
131,788,0.881,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
132,788,0.613,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
133,788,0.81,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
134,788,0.68,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
135,788,0.826,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
136,788,0.747,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
137,788,0.954,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
138,788,2.075,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
139,788,0.83,"non-congruent",1,"right","right","white_face",19,"black","right","face",0,0,1
140,788,0.67,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
141,788,0.65,"non-congruent",1,"left","left","black_face",19,"black","right","face",1,1,1
142,788,0.691,"non-congruent",1,"right","right","bad_word",19,"black","right","word",0,0,1
143,788,0.842,"non-congruent",1,"left","left","good_word",19,"black","right","word",1,1,1
144,788,2.808,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
145,788,1.748,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
146,788,0.867,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
147,788,0.91,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
148,788,1.348,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
149,788,0.795,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
150,788,1.289,"congruent",1,"left","left","white_face",19,"black","right","face",1,1,0
151,788,1.995,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
152,788,1.572,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
153,788,1.157,"congruent",1,"left","left","good_word",19,"black","right","word",1,1,0
154,788,0.956,"congruent",1,"right","right","bad_word",19,"black","right","word",0,0,0
155,788,1.056,"congruent",1,"right","right","black_face",19,"black","right","face",0,0,0
